,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
zok1l,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.23,0.0,0.26,5
zokht,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.18,0.12,5
zphwh,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.72,0.0,8
zqdef,0.0,0.0,0.0,0.0,0.31,0.48,0.0,0.0,0.0,0.18,5
zqjyv,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,5
zrxnt,0.0,0.0,0.18,0.0,0.0,0.21,0.09,0.0,0.23,0.29,9
zsddw,0.58,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0
zsezh,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.55,0.01,8
zt05u,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.47,6
ztqhd,0.08,0.03,0.0,0.0,0.24,0.34,0.01,0.04,0.0,0.26,5
zz5g4,0.59,0.07,0.0,0.0,0.0,0.0,0.0,0.05,0.28,0.0,0
zzqi1,0.22,0.0,0.09,0.0,0.24,0.0,0.08,0.19,0.19,0.0,4
zzstk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.43,0.01,7
102gok,0.17,0.0,0.05,0.0,0.16,0.24,0.03,0.06,0.17,0.12,5
102h1y,0.15,0.0,0.05,0.0,0.17,0.24,0.03,0.06,0.17,0.12,5
103o4t,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.56,9
103sd2,0.14,0.0,0.07,0.0,0.12,0.09,0.0,0.0,0.0,0.58,9
105uv0,0.11,0.0,0.0,0.23,0.4,0.0,0.13,0.0,0.0,0.12,4
107sri,0.47,0.0,0.0,0.16,0.0,0.14,0.0,0.0,0.21,0.0,0
108r91,0.22,0.0,0.01,0.0,0.1,0.08,0.0,0.0,0.0,0.58,9
109adb,0.09,0.0,0.0,0.0,0.07,0.15,0.0,0.05,0.27,0.37,9
109k2e,0.11,0.0,0.37,0.0,0.0,0.0,0.0,0.22,0.29,0.0,2
109vgy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,8
10e7qa,0.0,0.0,0.0,0.0,0.09,0.52,0.0,0.04,0.0,0.35,5
10gfq9,0.0,0.0,0.0,0.0,0.24,0.11,0.13,0.34,0.0,0.18,7
10gi3g,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.11,7
10h6t2,0.18,0.0,0.0,0.0,0.13,0.0,0.38,0.3,0.0,0.0,6
10joqu,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.48,3
10kys3,0.23,0.0,0.0,0.37,0.38,0.0,0.0,0.0,0.0,0.0,4
10o7gx,0.3,0.13,0.0,0.0,0.35,0.0,0.0,0.19,0.0,0.0,4
10p2ml,0.0,0.02,0.0,0.0,0.09,0.1,0.07,0.13,0.11,0.48,9
10w5z3,0.0,0.0,0.0,0.18,0.0,0.38,0.0,0.0,0.42,0.0,8
10w82q,0.21,0.03,0.0,0.0,0.0,0.09,0.0,0.16,0.38,0.13,8
10xyy3,0.0,0.0,0.02,0.01,0.15,0.2,0.04,0.04,0.05,0.48,9
10ycbk,0.14,0.34,0.0,0.0,0.03,0.0,0.15,0.31,0.0,0.03,1
1101yt,0.03,0.09,0.0,0.25,0.0,0.0,0.0,0.0,0.27,0.36,9
110a23,0.0,0.15,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.44,9
110rrl,0.0,0.0,0.0,0.06,0.1,0.67,0.0,0.0,0.0,0.17,5
111dqv,0.28,0.0,0.13,0.0,0.0,0.0,0.0,0.08,0.4,0.1,8
1129na,0.0,0.0,0.0,0.0,0.33,0.54,0.0,0.0,0.0,0.12,5
112jez,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
112mxa,0.15,0.0,0.03,0.0,0.25,0.06,0.0,0.45,0.0,0.07,7
113ssh,0.01,0.01,0.17,0.01,0.45,0.01,0.01,0.18,0.16,0.01,4
114muf,0.64,0.0,0.08,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0
115o0v,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.79,0.0,0.0,7
117dn1,0.06,0.18,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.12,6
117j89,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.72,0.01,8
11a2pn,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.26,7
11ct8x,0.12,0.0,0.0,0.0,0.05,0.71,0.0,0.0,0.0,0.11,5
11dhy5,0.0,0.0,0.0,0.04,0.04,0.15,0.14,0.0,0.0,0.62,9
11foxu,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.84,9
11ij6t,0.0,0.05,0.0,0.06,0.13,0.7,0.0,0.06,0.0,0.0,5
11k0xh,0.02,0.02,0.02,0.59,0.25,0.02,0.02,0.02,0.02,0.02,3
11kjtb,0.0,0.0,0.05,0.15,0.78,0.0,0.0,0.0,0.0,0.0,4
11lvu7,0.0,0.0,0.0,0.0,0.04,0.0,0.18,0.07,0.0,0.69,9
11myda,0.0,0.0,0.06,0.25,0.0,0.25,0.0,0.18,0.0,0.25,3
11oz46,0.01,0.01,0.01,0.01,0.32,0.01,0.49,0.01,0.16,0.01,6
11qo5l,0.16,0.0,0.0,0.41,0.3,0.0,0.0,0.02,0.0,0.1,3
11t3yf,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.82,0.05,8
11ucv9,0.0,0.0,0.0,0.38,0.09,0.0,0.0,0.0,0.34,0.18,3
11uf4y,0.28,0.03,0.39,0.0,0.0,0.11,0.0,0.0,0.17,0.0,2
11x102,0.06,0.04,0.0,0.0,0.14,0.42,0.0,0.0,0.0,0.33,5
11x1vm,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,0.01,0.22,3
11zmre,0.1,0.09,0.0,0.13,0.24,0.19,0.08,0.0,0.15,0.0,4
11zt2q,0.13,0.15,0.01,0.06,0.06,0.17,0.0,0.12,0.0,0.31,9
121nj0,0.0,0.25,0.08,0.0,0.0,0.0,0.0,0.58,0.07,0.0,7
121s38,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.51,0.0,8
122nvn,0.0,0.42,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.36,1
122rn1,0.0,0.0,0.25,0.0,0.0,0.19,0.14,0.12,0.0,0.3,9
12axkm,0.32,0.02,0.06,0.0,0.0,0.0,0.02,0.0,0.19,0.38,9
12d4wy,0.25,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.5,9
12deks,0.24,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.46,0.0,8
12i9ew,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.67,0.23,8
12lbii,0.0,0.0,0.0,0.0,0.46,0.39,0.0,0.0,0.0,0.12,4
12lbta,0.28,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.23,0.09,0
12mgxq,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.24,0.46,0.0,8
12mi21,0.1,0.4,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,5
12mveg,0.0,0.03,0.0,0.0,0.05,0.15,0.03,0.19,0.07,0.46,9
12ptei,0.07,0.0,0.0,0.0,0.16,0.75,0.0,0.0,0.0,0.0,5
12qiqw,0.07,0.0,0.0,0.0,0.16,0.75,0.0,0.0,0.0,0.0,5
12rbed,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.1,0.53,0.19,8
12sc3y,0.06,0.0,0.0,0.0,0.13,0.79,0.0,0.0,0.0,0.0,5
12wi4c,0.13,0.0,0.0,0.0,0.0,0.05,0.02,0.13,0.0,0.66,9
12winh,0.0,0.0,0.0,0.0,0.53,0.0,0.04,0.0,0.32,0.1,4
12xp37,0.16,0.12,0.12,0.05,0.0,0.0,0.0,0.15,0.26,0.13,8
12xr2x,0.14,0.0,0.05,0.0,0.04,0.16,0.24,0.13,0.0,0.25,9
12ye9o,0.17,0.04,0.0,0.0,0.33,0.0,0.04,0.41,0.0,0.0,7
12yl3b,0.14,0.0,0.0,0.06,0.13,0.0,0.0,0.46,0.0,0.2,7
12yqe2,0.0,0.14,0.0,0.12,0.0,0.0,0.0,0.71,0.0,0.0,7
12z3kz,0.22,0.0,0.18,0.0,0.0,0.2,0.0,0.04,0.27,0.1,8
12zaaj,0.04,0.11,0.07,0.0,0.1,0.12,0.03,0.14,0.25,0.15,8
131lxz,0.12,0.0,0.09,0.0,0.0,0.15,0.0,0.0,0.0,0.63,9
134nut,0.4,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,3
13512d,0.0,0.0,0.31,0.0,0.56,0.0,0.0,0.0,0.0,0.11,4
137d6e,0.0,0.0,0.0,0.21,0.09,0.65,0.0,0.0,0.04,0.0,5
138sae,0.06,0.0,0.0,0.0,0.13,0.79,0.0,0.0,0.0,0.0,5
139l9s,0.0,0.0,0.0,0.0,0.21,0.1,0.46,0.0,0.0,0.21,6
13aw41,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.76,0.0,0.0,7
13ceaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.19,8
13ckab,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.64,0.01,8
13cp1a,0.0,0.15,0.0,0.28,0.11,0.02,0.1,0.12,0.21,0.0,3
13d2uv,0.0,0.0,0.03,0.0,0.06,0.0,0.21,0.68,0.0,0.0,7
13dj4c,0.23,0.05,0.32,0.0,0.0,0.05,0.0,0.03,0.27,0.06,2
13frmi,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.36,0.55,9
13hmh8,0.0,0.0,0.32,0.1,0.0,0.0,0.0,0.0,0.56,0.0,8
13ibyf,0.0,0.0,0.0,0.0,0.37,0.18,0.05,0.18,0.2,0.0,4
13op54,0.0,0.0,0.0,0.07,0.1,0.45,0.0,0.0,0.0,0.37,5
13oyw7,0.0,0.0,0.09,0.0,0.0,0.39,0.0,0.16,0.0,0.35,5
13tk7m,0.0,0.0,0.0,0.0,0.2,0.24,0.0,0.0,0.0,0.54,9
13uyy9,0.25,0.0,0.07,0.07,0.11,0.15,0.01,0.07,0.21,0.05,0
13y63u,0.17,0.0,0.0,0.0,0.14,0.34,0.16,0.0,0.0,0.19,5
140d4g,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0
140prd,0.0,0.0,0.22,0.0,0.14,0.06,0.0,0.1,0.26,0.21,8
143jw7,0.0,0.0,0.0,0.0,0.11,0.34,0.02,0.37,0.0,0.15,7
144wtx,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.9,9
14693i,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.35,0.38,9
147sei,0.08,0.09,0.0,0.0,0.06,0.13,0.24,0.03,0.0,0.35,9
148gp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.24,8
148msp,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
148nb1,0.13,0.0,0.1,0.0,0.03,0.3,0.11,0.08,0.03,0.21,5
148p66,0.13,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.55,9
14a1dh,0.0,0.22,0.0,0.23,0.0,0.0,0.0,0.15,0.4,0.0,8
14ixyj,0.09,0.0,0.0,0.0,0.0,0.09,0.08,0.25,0.22,0.29,9
14lq0g,0.23,0.0,0.19,0.0,0.18,0.11,0.0,0.0,0.28,0.0,8
14m6ku,0.0,0.0,0.0,0.0,0.06,0.31,0.0,0.0,0.0,0.62,9
14maq2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
14nvv5,0.24,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.05,0.51,9
14puqw,0.13,0.0,0.2,0.0,0.0,0.32,0.0,0.0,0.26,0.09,5
14q0ak,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.38,0.0,3
14qah7,0.01,0.47,0.27,0.01,0.2,0.01,0.01,0.01,0.01,0.01,1
14qwbx,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.16,0.25,0.0,5
14skqh,0.0,0.0,0.03,0.0,0.0,0.22,0.13,0.13,0.25,0.24,8
14v0jw,0.0,0.15,0.14,0.0,0.47,0.0,0.0,0.0,0.0,0.23,4
155ohp,0.09,0.0,0.02,0.0,0.18,0.0,0.26,0.37,0.0,0.08,7
157jq9,0.09,0.06,0.04,0.0,0.0,0.0,0.1,0.24,0.33,0.13,8
15e959,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.44,9
15fv0j,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.66,0.07,0.01,7
15g3qg,0.01,0.01,0.01,0.74,0.01,0.01,0.01,0.01,0.2,0.01,3
15g8vq,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.81,9
15h9uh,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
15hwih,0.31,0.0,0.0,0.0,0.07,0.15,0.0,0.0,0.12,0.35,9
15j6ua,0.35,0.0,0.03,0.0,0.24,0.1,0.24,0.04,0.0,0.0,0
15jhfc,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.35,4
15l491,0.0,0.0,0.37,0.07,0.54,0.0,0.0,0.0,0.0,0.0,4
15l626,0.01,0.51,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,1
15lf4f,0.0,0.0,0.23,0.03,0.0,0.29,0.18,0.09,0.0,0.17,5
15lyjl,0.22,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,5
15nl89,0.0,0.01,0.0,0.0,0.0,0.13,0.0,0.03,0.47,0.35,8
15ny0c,0.26,0.0,0.19,0.0,0.08,0.0,0.05,0.05,0.1,0.27,9
1u6z6k,0.22,0.0,0.0,0.0,0.45,0.0,0.04,0.0,0.28,0.0,4
1u7tkf,0.0,0.0,0.0,0.0,0.06,0.0,0.22,0.39,0.0,0.32,7
1u9box,0.0,0.0,0.0,0.11,0.5,0.26,0.0,0.11,0.0,0.0,4
1ucx8y,0.46,0.09,0.22,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0
1uf2lg,0.27,0.26,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,4
1ufh44,0.0,0.0,0.0,0.28,0.39,0.0,0.0,0.0,0.0,0.3,4
1ui7cf,0.45,0.0,0.0,0.0,0.17,0.16,0.21,0.0,0.0,0.0,0
1umc5e,0.18,0.01,0.01,0.33,0.0,0.0,0.27,0.0,0.0,0.21,3
1uoyny,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.72,9
1uqj7q,0.2,0.0,0.05,0.0,0.1,0.0,0.21,0.0,0.0,0.43,9
1ur44u,0.0,0.14,0.0,0.0,0.36,0.0,0.0,0.0,0.47,0.0,8
1uxaju,0.0,0.0,0.06,0.0,0.1,0.15,0.0,0.05,0.3,0.34,9
1uygrn,0.01,0.01,0.01,0.58,0.01,0.01,0.01,0.01,0.38,0.01,3
1v0wuc,0.11,0.0,0.17,0.0,0.06,0.3,0.04,0.27,0.06,0.0,5
1v2bee,0.0,0.17,0.0,0.05,0.05,0.0,0.05,0.27,0.4,0.0,8
1v2y1g,0.15,0.0,0.22,0.0,0.0,0.0,0.0,0.05,0.0,0.57,9
1v9mw8,0.17,0.0,0.03,0.0,0.27,0.05,0.0,0.3,0.17,0.0,7
1vcodf,0.0,0.0,0.07,0.06,0.0,0.43,0.0,0.0,0.12,0.31,5
1vf1l6,0.21,0.16,0.0,0.0,0.07,0.0,0.0,0.12,0.0,0.42,9
1vfdst,0.43,0.0,0.08,0.0,0.0,0.03,0.0,0.1,0.29,0.07,0
1vfhbz,0.31,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
1vil64,0.0,0.02,0.0,0.01,0.0,0.39,0.02,0.1,0.32,0.13,5
1vjh7h,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.24,0.1,0.0,5
1vkm1n,0.2,0.0,0.0,0.0,0.0,0.0,0.12,0.17,0.0,0.5,9
1vkvzd,0.43,0.25,0.09,0.0,0.16,0.0,0.06,0.0,0.0,0.0,0
1vkxsw,0.31,0.23,0.09,0.13,0.16,0.0,0.07,0.0,0.0,0.0,0
1vl1k7,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.07,0.0,0.6,9
1vo1zr,0.29,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.57,0.05,8
1vru09,0.0,0.0,0.28,0.09,0.0,0.0,0.0,0.1,0.53,0.0,8
1vt65q,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.15,0.61,0.0,8
1vtqb2,0.0,0.0,0.0,0.23,0.03,0.0,0.0,0.0,0.0,0.73,9
1vtwkr,0.47,0.0,0.19,0.0,0.15,0.0,0.0,0.0,0.17,0.0,0
1vuc6t,0.22,0.0,0.0,0.0,0.2,0.0,0.08,0.0,0.0,0.49,9
1vudjn,0.0,0.0,0.17,0.0,0.0,0.05,0.16,0.02,0.26,0.34,9
1vvsdr,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.14,0.38,4
1vvv73,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.1,0.0,0.51,9
1vvvil,0.0,0.0,0.0,0.33,0.0,0.0,0.18,0.0,0.0,0.46,9
1vytpw,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.33,0.56,9
1w0b2i,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.44,0.0,5
1w2qib,0.0,0.1,0.0,0.16,0.0,0.35,0.38,0.0,0.0,0.0,6
1w4rul,0.0,0.0,0.29,0.21,0.0,0.0,0.0,0.0,0.38,0.11,8
1w61te,0.0,0.0,0.3,0.3,0.05,0.0,0.0,0.0,0.0,0.32,9
1w79zk,0.3,0.0,0.0,0.03,0.0,0.35,0.0,0.0,0.3,0.0,5
1wbbv4,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.66,9
1wd237,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.7,9
1wg583,0.16,0.0,0.05,0.0,0.25,0.03,0.0,0.14,0.0,0.35,9
1wh136,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.48,9
1wlsv2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.15,0.0,7
1wrw9t,0.0,0.0,0.0,0.0,0.4,0.35,0.0,0.0,0.0,0.24,4
1wt2zq,0.0,0.0,0.0,0.0,0.1,0.07,0.0,0.2,0.0,0.61,9
1wtqbe,0.3,0.0,0.0,0.0,0.13,0.35,0.0,0.15,0.06,0.0,5
1wu5g2,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0
1wuwg1,0.1,0.11,0.0,0.03,0.12,0.09,0.0,0.2,0.0,0.35,9
1wuxvz,0.12,0.12,0.0,0.0,0.14,0.08,0.0,0.25,0.0,0.3,9
1wvxgs,0.01,0.01,0.01,0.17,0.35,0.01,0.01,0.43,0.01,0.01,7
1wxx05,0.38,0.0,0.37,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0
1wynih,0.0,0.0,0.71,0.13,0.0,0.0,0.0,0.0,0.15,0.0,2
1x31qy,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,8
1x8g9z,0.13,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.77,0.0,8
1x9x2h,0.0,0.21,0.0,0.13,0.0,0.0,0.0,0.0,0.64,0.0,8
1xejpn,0.22,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.44,0.26,8
1xffw6,0.4,0.0,0.0,0.12,0.0,0.31,0.0,0.0,0.16,0.0,0
1xfoxx,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.25,0.65,0.0,8
1xmgpa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,9
1xnr00,0.24,0.05,0.02,0.1,0.0,0.0,0.28,0.3,0.0,0.0,7
1xnygr,0.0,0.0,0.0,0.03,0.0,0.17,0.02,0.0,0.38,0.39,9
1xqqi1,0.0,0.0,0.0,0.0,0.08,0.15,0.0,0.03,0.55,0.18,8
1xrjpr,0.0,0.04,0.0,0.0,0.21,0.38,0.0,0.0,0.37,0.0,5
1xxau0,0.0,0.0,0.0,0.23,0.0,0.0,0.1,0.0,0.0,0.66,9
1xy5mi,0.0,0.0,0.34,0.13,0.31,0.0,0.0,0.0,0.21,0.0,2
1y1h8y,0.21,0.0,0.05,0.0,0.0,0.46,0.21,0.06,0.0,0.0,5
1y3s20,0.0,0.0,0.0,0.0,0.49,0.0,0.08,0.1,0.31,0.0,4
1y52zb,0.18,0.0,0.02,0.0,0.0,0.45,0.21,0.13,0.0,0.0,5
1ya309,0.0,0.0,0.06,0.06,0.03,0.1,0.03,0.34,0.0,0.38,9
1ycnyv,0.08,0.0,0.26,0.0,0.0,0.3,0.08,0.26,0.0,0.02,5
1yd6bz,0.18,0.0,0.08,0.0,0.0,0.14,0.18,0.12,0.0,0.3,9
1ydsd2,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.52,9
1ygo5d,0.0,0.07,0.0,0.0,0.38,0.4,0.0,0.0,0.14,0.0,5
1ygv6h,0.29,0.0,0.0,0.0,0.0,0.18,0.17,0.19,0.0,0.15,0
1yh78h,0.11,0.0,0.29,0.02,0.0,0.0,0.0,0.0,0.21,0.37,9
1yjsa2,0.0,0.0,0.0,0.0,0.61,0.25,0.0,0.0,0.0,0.12,4
1ykg6g,0.0,0.0,0.0,0.0,0.61,0.25,0.0,0.0,0.0,0.12,4
1ymvfk,0.0,0.0,0.0,0.0,0.0,0.18,0.65,0.14,0.0,0.0,6
1ytgoc,0.0,0.2,0.0,0.0,0.06,0.28,0.0,0.44,0.0,0.0,7
1yu645,0.14,0.56,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,1
1yv0q6,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.48,9
1yvedo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,9
1z2gld,0.0,0.0,0.0,0.14,0.09,0.0,0.34,0.29,0.13,0.0,6
1z3q1j,0.05,0.0,0.1,0.0,0.09,0.41,0.0,0.2,0.09,0.06,5
1z910w,0.2,0.0,0.01,0.0,0.24,0.19,0.07,0.07,0.14,0.09,4
1zb8ah,0.01,0.01,0.01,0.46,0.46,0.01,0.01,0.01,0.01,0.01,3
1zbj3k,0.01,0.55,0.01,0.01,0.08,0.01,0.01,0.13,0.21,0.01,1
1zd1iu,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.06,0.69,0.14,8
1zehb4,0.01,0.16,0.01,0.01,0.47,0.01,0.19,0.15,0.01,0.01,4
1zh6c0,0.28,0.0,0.0,0.0,0.0,0.49,0.19,0.0,0.0,0.0,5
1zr1fe,0.01,0.01,0.01,0.54,0.01,0.24,0.01,0.01,0.01,0.18,3
203cf7,0.27,0.0,0.38,0.0,0.0,0.05,0.0,0.02,0.22,0.04,2
203xax,0.18,0.11,0.04,0.0,0.39,0.07,0.0,0.19,0.0,0.0,4
204qi2,0.0,0.0,0.0,0.14,0.08,0.34,0.0,0.0,0.17,0.28,5
206r4n,0.0,0.0,0.0,0.06,0.59,0.0,0.05,0.0,0.25,0.04,4
206vvo,0.08,0.0,0.01,0.0,0.03,0.0,0.0,0.53,0.0,0.34,7
207qk5,0.04,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.48,0.18,8
2091go,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.55,0.0,8
20bm2p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.28,0.28,0.38,9
20bn5o,0.14,0.0,0.2,0.0,0.31,0.21,0.0,0.13,0.0,0.0,4
20cg9p,0.22,0.1,0.0,0.0,0.0,0.0,0.12,0.26,0.12,0.17,7
20ibvf,0.0,0.29,0.0,0.19,0.0,0.0,0.0,0.21,0.3,0.0,8
20kxn2,0.0,0.0,0.0,0.0,0.04,0.22,0.0,0.0,0.14,0.59,9
20l30u,0.09,0.04,0.0,0.0,0.07,0.08,0.2,0.0,0.0,0.53,9
20mowh,0.0,0.0,0.55,0.08,0.0,0.0,0.0,0.0,0.0,0.35,2
20nb45,0.0,0.0,0.0,0.0,0.5,0.13,0.0,0.0,0.0,0.36,4
20nlwe,0.04,0.0,0.0,0.0,0.18,0.11,0.14,0.25,0.0,0.27,9
20nug8,0.0,0.0,0.0,0.25,0.0,0.0,0.4,0.11,0.22,0.0,6
20qdkr,0.0,0.27,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,3
20qr8k,0.0,0.05,0.0,0.15,0.07,0.19,0.0,0.0,0.45,0.09,8
20qvha,0.0,0.0,0.0,0.12,0.0,0.58,0.0,0.0,0.0,0.28,5
20sece,0.0,0.0,0.32,0.06,0.0,0.0,0.12,0.23,0.26,0.0,2
20sutp,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.82,9
20tlni,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.0,0.28,0.0,5
20ur6u,0.19,0.0,0.0,0.0,0.15,0.0,0.08,0.0,0.05,0.52,9
20xzqe,0.0,0.06,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.5,9
20yftj,0.18,0.1,0.0,0.19,0.0,0.0,0.0,0.0,0.53,0.0,8
21055f,0.0,0.06,0.0,0.02,0.05,0.0,0.11,0.0,0.41,0.35,8
2109aj,0.11,0.0,0.0,0.16,0.0,0.26,0.0,0.31,0.0,0.15,7
212row,0.67,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0
215cim,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.42,0.07,5
2165ji,0.0,0.0,0.0,0.04,0.0,0.48,0.03,0.0,0.0,0.45,5
216fi4,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.52,0.0,8
217aq2,0.0,0.0,0.0,0.33,0.0,0.64,0.0,0.0,0.0,0.0,5
2199q0,0.07,0.0,0.05,0.01,0.13,0.07,0.03,0.13,0.0,0.51,9
21h3en,0.0,0.0,0.0,0.18,0.28,0.3,0.07,0.0,0.0,0.17,5
21iewp,0.0,0.0,0.05,0.0,0.0,0.3,0.55,0.0,0.0,0.08,6
21j4n2,0.0,0.0,0.0,0.0,0.03,0.0,0.16,0.64,0.16,0.0,7
21jw0x,0.24,0.0,0.03,0.32,0.0,0.0,0.02,0.0,0.0,0.38,9
21jxmq,0.43,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.33,0
21lohl,0.28,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.27,0.0,5
21nddz,0.0,0.0,0.0,0.0,0.08,0.35,0.0,0.06,0.15,0.35,5
21p1z3,0.4,0.04,0.0,0.0,0.0,0.09,0.09,0.0,0.36,0.0,0
21rgba,0.28,0.0,0.16,0.0,0.0,0.04,0.4,0.05,0.0,0.08,6
21wygo,0.01,0.01,0.01,0.58,0.01,0.01,0.01,0.01,0.01,0.38,3
21xd80,0.0,0.0,0.06,0.0,0.4,0.19,0.0,0.15,0.0,0.2,4
21yj02,0.0,0.0,0.33,0.22,0.07,0.0,0.0,0.0,0.36,0.0,8
220u5z,0.0,0.4,0.0,0.0,0.41,0.0,0.0,0.0,0.17,0.0,4
