,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
w0puw,0.23,0.0,0.07,0.0,0.35,0.17,0.0,0.08,0.1,0.0,4
w2jun,0.14,0.0,0.08,0.0,0.07,0.08,0.08,0.0,0.54,0.0,8
w2yy5,0.0,0.0,0.0,0.36,0.0,0.26,0.13,0.0,0.0,0.24,3
w38y8,0.0,0.0,0.0,0.8,0.0,0.16,0.0,0.0,0.0,0.0,3
w3b6i,0.32,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.19,5
w4xxm,0.0,0.0,0.0,0.1,0.0,0.0,0.35,0.11,0.0,0.43,9
w5iqk,0.07,0.0,0.0,0.0,0.16,0.08,0.0,0.31,0.0,0.37,9
w6ue4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.22,0.08,0.64,9
wbiqc,0.15,0.0,0.12,0.0,0.0,0.15,0.0,0.0,0.11,0.45,9
wbpjq,0.0,0.04,0.49,0.0,0.25,0.2,0.0,0.0,0.0,0.0,2
wclcw,0.09,0.0,0.0,0.0,0.29,0.0,0.07,0.0,0.54,0.0,8
whsk5,0.0,0.0,0.0,0.21,0.0,0.39,0.0,0.0,0.0,0.38,5
wjilc,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0
wm8km,0.14,0.03,0.0,0.07,0.0,0.0,0.1,0.43,0.0,0.23,7
wmqb6,0.08,0.0,0.0,0.0,0.12,0.64,0.06,0.0,0.0,0.09,5
wnrfa,0.23,0.0,0.03,0.0,0.0,0.24,0.35,0.13,0.0,0.0,6
wokhx,0.0,0.05,0.0,0.18,0.0,0.0,0.0,0.0,0.44,0.32,8
wp8fn,0.0,0.0,0.12,0.0,0.28,0.0,0.0,0.38,0.2,0.0,7
wpr61,0.0,0.17,0.0,0.0,0.0,0.0,0.08,0.0,0.59,0.15,8
wpvem,0.0,0.14,0.08,0.0,0.02,0.0,0.13,0.13,0.0,0.5,9
wue4x,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,8
wupwv,0.0,0.0,0.03,0.0,0.26,0.1,0.0,0.0,0.26,0.35,9
wvdpk,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,8
wxjne,0.29,0.0,0.06,0.0,0.0,0.1,0.0,0.16,0.0,0.39,9
wyu1f,0.56,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.09,0.0,0
wzdda,0.18,0.0,0.0,0.03,0.04,0.26,0.0,0.0,0.43,0.06,8
x07qt,0.34,0.15,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.24,0
x1ydu,0.37,0.14,0.0,0.09,0.16,0.0,0.0,0.0,0.23,0.0,0
x216x,0.67,0.0,0.0,0.0,0.0,0.18,0.0,0.09,0.0,0.05,0
x4wpr,0.0,0.03,0.0,0.0,0.03,0.25,0.0,0.13,0.47,0.09,8
x55hx,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.65,0.13,0.16,7
x6heu,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.4,0.01,3
x8ovm,0.17,0.0,0.0,0.0,0.11,0.0,0.05,0.51,0.0,0.15,7
xao5q,0.0,0.0,0.0,0.0,0.26,0.54,0.0,0.0,0.0,0.19,5
xaq0z,0.28,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.07,0.33,9
xbef6,0.17,0.0,0.0,0.0,0.15,0.09,0.16,0.11,0.32,0.0,8
xbqfz,0.0,0.0,0.0,0.13,0.1,0.0,0.0,0.0,0.3,0.46,9
xcsh5,0.18,0.08,0.0,0.0,0.0,0.16,0.0,0.13,0.14,0.31,9
xd8o8,0.0,0.16,0.03,0.08,0.06,0.0,0.16,0.27,0.23,0.0,7
xdxmk,0.35,0.0,0.0,0.07,0.13,0.05,0.0,0.05,0.0,0.34,0
xe8x4,0.0,0.0,0.0,0.08,0.0,0.0,0.14,0.0,0.0,0.76,9
xeqm1,0.0,0.0,0.1,0.0,0.14,0.0,0.04,0.28,0.32,0.11,8
xfcxr,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,8
xhqz2,0.08,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.4,0.25,8
xi4bz,0.37,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.43,9
xisbr,0.07,0.0,0.0,0.22,0.24,0.0,0.0,0.0,0.18,0.28,9
xky3e,0.29,0.01,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.16,3
xlre0,0.0,0.15,0.09,0.08,0.13,0.0,0.0,0.33,0.16,0.06,7
xrrv1,0.28,0.11,0.0,0.0,0.0,0.0,0.05,0.24,0.31,0.0,8
xtidd,0.36,0.0,0.07,0.0,0.04,0.19,0.23,0.0,0.11,0.0,0
xtmof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.36,7
xvz28,0.0,0.36,0.0,0.09,0.0,0.0,0.0,0.33,0.22,0.0,1
xw92k,0.0,0.0,0.14,0.0,0.13,0.29,0.0,0.08,0.0,0.36,9
xwdur,0.2,0.0,0.0,0.0,0.0,0.41,0.0,0.17,0.22,0.0,5
xx50w,0.0,0.12,0.17,0.0,0.17,0.24,0.06,0.06,0.17,0.0,5
xxsyw,0.0,0.0,0.02,0.0,0.15,0.4,0.0,0.0,0.32,0.11,5
xzwvo,0.09,0.04,0.13,0.71,0.0,0.0,0.0,0.0,0.0,0.0,3
y1gu7,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.64,9
y35xp,0.0,0.05,0.15,0.18,0.0,0.0,0.0,0.34,0.0,0.27,7
y63vu,0.29,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.13,0.11,2
y7umv,0.22,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.11,0.37,9
y8dhr,0.0,0.29,0.0,0.19,0.03,0.0,0.0,0.09,0.27,0.13,1
y8h2e,0.0,0.0,0.0,0.12,0.0,0.0,0.73,0.0,0.0,0.14,6
y9iyq,0.0,0.26,0.0,0.0,0.25,0.0,0.07,0.0,0.0,0.4,9
ycq82,0.01,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,4
yd5ti,0.49,0.0,0.04,0.0,0.09,0.0,0.11,0.0,0.0,0.26,0
ydxu4,0.17,0.15,0.07,0.0,0.02,0.14,0.04,0.08,0.0,0.33,9
yf25i,0.1,0.26,0.0,0.17,0.0,0.03,0.0,0.0,0.08,0.36,9
yfz5o,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
yh4v9,0.0,0.0,0.0,0.0,0.32,0.27,0.07,0.08,0.24,0.0,4
yimah,0.05,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.23,0.0,3
yjxq5,0.0,0.0,0.0,0.0,0.27,0.55,0.0,0.0,0.0,0.17,5
yjylp,0.0,0.19,0.0,0.0,0.19,0.0,0.14,0.0,0.0,0.46,9
ym1kp,0.17,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.25,4
yp8o1,0.34,0.0,0.05,0.0,0.13,0.0,0.13,0.2,0.0,0.15,0
yq150,0.15,0.0,0.39,0.0,0.05,0.0,0.0,0.0,0.39,0.0,2
yr6ql,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.01,8
ythqs,0.02,0.02,0.02,0.47,0.02,0.02,0.02,0.02,0.02,0.39,3
yu7d9,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.41,0.01,0.17,7
yvh0a,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
yxiuj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.81,9
yy4fo,0.0,0.0,0.0,0.0,0.38,0.36,0.0,0.0,0.0,0.24,4
yys1u,0.26,0.01,0.01,0.26,0.19,0.01,0.01,0.12,0.01,0.15,0
z0a3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.72,0.24,8
z0wtd,0.0,0.0,0.0,0.0,0.09,0.41,0.0,0.24,0.12,0.14,5
z102b,0.0,0.0,0.0,0.0,0.0,0.39,0.59,0.0,0.0,0.0,6
z160y,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.29,0.0,2
z1dgh,0.16,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.33,0.0,8
z1eat,0.12,0.0,0.0,0.0,0.18,0.58,0.0,0.0,0.12,0.0,5
z1ogo,0.01,0.01,0.37,0.43,0.15,0.01,0.01,0.01,0.01,0.01,3
zaebx,0.11,0.0,0.1,0.0,0.05,0.29,0.0,0.18,0.0,0.27,5
zbnrk,0.0,0.06,0.17,0.0,0.17,0.0,0.12,0.0,0.0,0.47,9
zbz9e,0.0,0.0,0.0,0.0,0.47,0.0,0.05,0.1,0.37,0.0,4
zcouy,0.0,0.0,0.0,0.17,0.18,0.59,0.0,0.06,0.0,0.0,5
zcrje,0.0,0.0,0.52,0.0,0.0,0.23,0.0,0.0,0.22,0.0,2
zdr0a,0.23,0.3,0.0,0.0,0.0,0.0,0.01,0.02,0.33,0.1,8
ze3b5,0.18,0.18,0.0,0.0,0.33,0.06,0.0,0.0,0.0,0.24,4
zf2v3,0.11,0.06,0.14,0.0,0.15,0.0,0.0,0.15,0.19,0.21,9
zfq8x,0.01,0.01,0.18,0.54,0.01,0.01,0.01,0.01,0.01,0.25,3
zg7sp,0.65,0.0,0.06,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0
zgz4c,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.0,0.34,6
zj032,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.57,0.33,8
zjajh,0.14,0.0,0.11,0.0,0.0,0.0,0.0,0.22,0.15,0.37,9
zki98,0.2,0.32,0.12,0.0,0.18,0.0,0.0,0.17,0.0,0.0,1
zmg33,0.02,0.53,0.02,0.02,0.02,0.34,0.02,0.02,0.02,0.02,1
zmt5l,0.0,0.14,0.0,0.0,0.49,0.0,0.0,0.0,0.24,0.12,4
znpka,0.0,0.15,0.0,0.0,0.46,0.0,0.0,0.0,0.21,0.17,4
znyb7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.43,0.07,0.0,5
zo8l3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.46,0.01,7
zo9ok,0.14,0.0,0.0,0.2,0.34,0.0,0.0,0.0,0.0,0.29,4
zojc9,0.14,0.0,0.0,0.2,0.34,0.0,0.0,0.0,0.0,0.29,4
