,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
4wjco9,0.0,0.0,0.0,0.09,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.28,0.0,0.0,0.0,0.0,0.17,14
4wjphb,0.01,0.61,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
4wnlok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,16
4woow8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.44,0.0,0.0,17
4wot29,0.04,0.0,0.04,0.0,0.0,0.0,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.15,0.07,0.04,0.06,13
4wpzqa,0.09,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.1,0.12,0.0,0.0,0.37,0.0,0.0,0.0,0.13,0.0,14
4wqnmw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.21,0.04,0.0,0.0,0.0,0.43,0.25,0.0,0.0,16
4wr5fk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,11
4wrxln,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.0,0.0,0.0,0.54,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,11
4wrz5m,0.3,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.17,0.0,0.0,0.14,0.0,0
4wtthj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.63,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,11
4wusou,0.06,0.0,0.0,0.0,0.0,0.29,0.08,0.03,0.0,0.0,0.04,0.28,0.0,0.07,0.02,0.0,0.1,0.03,0.0,0.0,5
4wv84z,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.19,0.3,0.0,0.0,0.0,0.0,15
4wve9y,0.0,0.15,0.0,0.02,0.04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.23,0.0,0.0,0.0,0.1,12
4wwbfi,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.28,0.25,0.11,0.0,0.26,0.0,0.0,0.0,0.0,11
4wwcsk,0.0,0.07,0.0,0.0,0.2,0.24,0.0,0.0,0.22,0.09,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,5
4wxd0f,0.0,0.1,0.15,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.33,0.0,0.0,0.0,0.0,15
4wxi33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.21,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.13,10
4wxr0v,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.03,0.53,0.03,0.0,0.1,16
4wz23q,0.21,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.36,19
4x023r,0.37,0.01,0.01,0.13,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
4x0hpj,0.05,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.09,0.0,0.02,0.0,8
4x0i6e,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.38,0.0,0.02,0.08,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,8
4x1xnv,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.42,0.0,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4x23mh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,14
4x3n5m,0.0,0.21,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.14,0.0,0.0,14
4x4ul8,0.04,0.01,0.03,0.0,0.02,0.19,0.03,0.04,0.03,0.0,0.01,0.21,0.2,0.05,0.0,0.0,0.14,0.0,0.0,0.0,11
4x65m6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.41,0.01,0.01,0.01,0.25,15
4x6tjf,0.0,0.06,0.0,0.0,0.03,0.0,0.2,0.06,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,11
4x7m5r,0.0,0.0,0.0,0.02,0.02,0.17,0.0,0.0,0.1,0.0,0.13,0.0,0.0,0.0,0.07,0.0,0.42,0.0,0.06,0.0,16
