,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
6facmq,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.17,0.07,0.0,8
6fdko5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.11,8
6fdrqv,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.25,0.24,0.0,0.0,0.2,0.0,0.0,8
6ffad5,0.0,0.18,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.35,0.0,0.0,0.0,0.0,0.22,9
6fg438,0.0,0.1,0.13,0.18,0.0,0.0,0.0,0.11,0.47,0.0,0.0,0.0,0.0,0.0,0.0,8
6fgwxd,0.0,0.0,0.0,0.0,0.12,0.36,0.0,0.17,0.0,0.08,0.0,0.0,0.08,0.09,0.1,5
6fjw7f,0.0,0.0,0.19,0.0,0.0,0.24,0.0,0.18,0.18,0.0,0.04,0.1,0.0,0.0,0.06,5
6fl9o0,0.0,0.0,0.0,0.16,0.05,0.13,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.23,0.0,8
6flebg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.48,0.0,0.14,0.0,0.0,0.0,0.0,8
6fmla8,0.0,0.47,0.06,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1
6fmxp4,0.1,0.08,0.0,0.07,0.0,0.0,0.08,0.0,0.38,0.02,0.0,0.05,0.0,0.22,0.0,8
6fn24o,0.03,0.03,0.0,0.1,0.04,0.0,0.18,0.14,0.21,0.03,0.13,0.02,0.0,0.0,0.08,8
6fo81k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.22,0.14,0.0,0.0,8
6fq0d6,0.0,0.09,0.0,0.0,0.06,0.33,0.0,0.17,0.0,0.0,0.0,0.12,0.19,0.04,0.0,5
6fs50a,0.0,0.0,0.0,0.23,0.04,0.0,0.0,0.0,0.5,0.0,0.21,0.0,0.0,0.0,0.0,8
6fuvs2,0.09,0.0,0.08,0.0,0.0,0.19,0.0,0.0,0.0,0.05,0.16,0.0,0.13,0.05,0.23,14
6fx7z6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.57,14
6fxlvp,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.47,14
6fylmk,0.02,0.15,0.0,0.0,0.0,0.0,0.25,0.17,0.0,0.1,0.12,0.0,0.08,0.11,0.0,6
6fyszh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.46,0.0,0.0,0.0,0.1,10
6fzx3e,0.09,0.35,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,4
