,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
xzwvo,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.04,6
y1gu7,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.57,0.0,0.0,7
y35xp,0.0,0.22,0.0,0.0,0.18,0.0,0.0,0.28,0.0,0.31,9
y63vu,0.0,0.0,0.0,0.0,0.55,0.0,0.3,0.14,0.0,0.0,4
y7umv,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.38,0.22,0.0,3
y8dhr,0.16,0.17,0.0,0.05,0.0,0.0,0.0,0.22,0.0,0.39,9
y8h2e,0.0,0.0,0.0,0.0,0.0,0.59,0.08,0.33,0.0,0.0,5
y9iyq,0.22,0.0,0.0,0.31,0.0,0.0,0.32,0.13,0.0,0.0,6
ycq82,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,3
yd5ti,0.0,0.0,0.0,0.25,0.14,0.27,0.0,0.32,0.0,0.0,7
ydxu4,0.0,0.14,0.35,0.03,0.1,0.0,0.05,0.16,0.0,0.16,2
yf25i,0.0,0.19,0.0,0.0,0.0,0.0,0.26,0.21,0.06,0.27,9
yfz5o,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,3
yh4v9,0.0,0.24,0.13,0.33,0.0,0.0,0.06,0.0,0.23,0.0,3
yimah,0.01,0.26,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.01,6
yjxq5,0.0,0.0,0.1,0.31,0.0,0.0,0.0,0.19,0.4,0.0,8
yjylp,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.52,0.0,0.19,7
ym1kp,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.13,0.12,0.0,3
yp8o1,0.0,0.32,0.0,0.19,0.0,0.39,0.0,0.09,0.0,0.0,5
yq150,0.0,0.0,0.0,0.07,0.9,0.0,0.0,0.0,0.0,0.0,4
yr6ql,0.01,0.01,0.74,0.2,0.01,0.01,0.01,0.01,0.01,0.01,2
ythqs,0.02,0.02,0.02,0.02,0.02,0.02,0.47,0.39,0.02,0.02,6
yu7d9,0.01,0.32,0.01,0.01,0.01,0.01,0.22,0.22,0.01,0.21,1
yvh0a,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
yxiuj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.29,0.0,7
yy4fo,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.24,0.34,0.0,3
yys1u,0.01,0.21,0.01,0.33,0.01,0.16,0.26,0.01,0.01,0.01,3
z0a3p,0.0,0.75,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1
z0wtd,0.0,0.38,0.2,0.11,0.0,0.0,0.0,0.12,0.18,0.0,1
z102b,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.13,0.29,0.0,5
z160y,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,4
z1dgh,0.0,0.18,0.0,0.0,0.54,0.26,0.0,0.0,0.0,0.0,4
z1eat,0.03,0.0,0.42,0.18,0.0,0.0,0.0,0.0,0.36,0.0,2
z1ogo,0.01,0.01,0.01,0.41,0.54,0.01,0.01,0.01,0.01,0.01,4
zaebx,0.0,0.28,0.18,0.06,0.14,0.0,0.0,0.15,0.18,0.0,1
zbnrk,0.0,0.0,0.0,0.21,0.12,0.0,0.19,0.42,0.0,0.05,7
zbz9e,0.03,0.38,0.0,0.42,0.0,0.0,0.12,0.0,0.0,0.04,3
zcouy,0.0,0.04,0.19,0.2,0.0,0.0,0.0,0.27,0.28,0.0,8
zcrje,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.4,0.0,4
zdr0a,0.02,0.53,0.0,0.0,0.0,0.0,0.09,0.11,0.0,0.24,1
ze3b5,0.0,0.14,0.0,0.36,0.0,0.0,0.0,0.23,0.06,0.18,3
zf2v3,0.0,0.29,0.0,0.14,0.2,0.0,0.0,0.26,0.0,0.1,1
zfq8x,0.01,0.01,0.01,0.01,0.2,0.01,0.5,0.26,0.01,0.01,6
zg7sp,0.0,0.32,0.0,0.0,0.19,0.0,0.19,0.0,0.28,0.0,1
zgz4c,0.0,0.0,0.43,0.0,0.0,0.27,0.08,0.21,0.0,0.0,2
zj032,0.05,0.75,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1
zjajh,0.0,0.59,0.0,0.0,0.15,0.0,0.0,0.25,0.0,0.0,1
zki98,0.0,0.17,0.0,0.21,0.22,0.04,0.0,0.0,0.0,0.35,9
zmg33,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
zmt5l,0.02,0.0,0.2,0.41,0.0,0.0,0.0,0.15,0.06,0.15,3
znpka,0.06,0.0,0.08,0.48,0.0,0.0,0.0,0.21,0.0,0.15,3
znyb7,0.0,0.44,0.0,0.0,0.0,0.03,0.0,0.0,0.42,0.1,1
zo8l3,0.16,0.68,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
zo9ok,0.01,0.01,0.01,0.47,0.01,0.01,0.27,0.22,0.01,0.01,3
zojc9,0.01,0.01,0.01,0.47,0.01,0.01,0.27,0.22,0.01,0.01,3
zok1l,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.13,0.65,0.0,8
zokht,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.16,0.2,0.0,2
zphwh,0.0,0.0,0.8,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2
zqdef,0.0,0.0,0.3,0.39,0.0,0.0,0.0,0.29,0.0,0.0,3
zqjyv,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.66,0.0,8
zrxnt,0.0,0.0,0.09,0.0,0.27,0.05,0.02,0.28,0.28,0.0,7
zsddw,0.0,0.0,0.14,0.69,0.15,0.0,0.0,0.0,0.0,0.0,3
zsezh,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,4
