,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
um8z4,0.09,0.42,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,1
undbi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.52,19
uoym5,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.16,0.43,0.0,0.0,0.06,0.03,0.0,0.0,0.05,0.22,0.0,0.0,0.0,8
upeuy,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,0.0,0.0,0.0,0.0,1
upjrw,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.42,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,9
uppwq,0.12,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.21,0.0,17
uppz8,0.0,0.13,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
uq2ie,0.0,0.07,0.0,0.22,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.07,0.0,0.0,0.0,0.26,19
uqu1p,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.22,0.0,0.25,0.0,0.0,0.0,0.0,8
ut1gg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.13,0.0,0.0,0.18,0.24,0.26,0.0,18
utsdh,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.0,0.06,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.11,0.0,13
uut9z,0.0,0.14,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.04,0.31,0.0,0.3,0.0,0.0,0.0,0.0,13
ux9r5,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.22,0.0,0.09,0.0,0.27,0.05,0.07,0.0,0.0,0.0,0.07,13
uzu4c,0.0,0.18,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.02,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,17
v2poa,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.18,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.19,0.0,8
v38xw,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.14,7
