,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
v7ikx,0.14,0.0,0.0,0.0,0.43,0.0,0.0,0.06,0.35,0.0,0.0,0.0,0.0,0.0,0.0,4
v7mgw,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,12
v89sd,0.11,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.64,0.08,0.0,0.0,11
v8j07,0.05,0.0,0.0,0.0,0.07,0.0,0.03,0.17,0.1,0.0,0.0,0.26,0.16,0.06,0.1,11
v9dfl,0.0,0.0,0.36,0.0,0.0,0.0,0.02,0.0,0.5,0.04,0.03,0.0,0.0,0.03,0.0,8
va9yq,0.05,0.0,0.23,0.05,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.4,0.0,0.0,12
vb71b,0.0,0.0,0.0,0.11,0.16,0.0,0.0,0.16,0.08,0.0,0.0,0.46,0.0,0.0,0.0,11
vc3g9,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.26,0.0,0.0,0.0,2
vcvje,0.0,0.11,0.0,0.0,0.2,0.0,0.0,0.0,0.24,0.0,0.0,0.08,0.1,0.0,0.26,14
vcwzd,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,12
veg69,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.3,0.0,0.0,0.37,14
vfxhr,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.17,0.32,0.0,0.0,0.0,0.0,0.0,0.0,4
vhhn1,0.0,0.0,0.0,0.0,0.09,0.0,0.03,0.14,0.4,0.0,0.0,0.0,0.12,0.09,0.13,8
vhu74,0.0,0.0,0.13,0.0,0.02,0.55,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.22,0.0,5
vhwjj,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.47,0.15,0.01,0.01,11
vjd33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.68,0.0,0.09,0.11,11
vkrf7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,6
vl77j,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.14,0.11,0.01,0.01,0.01,0.01,0.01,7
vl9tv,0.0,0.08,0.2,0.06,0.0,0.0,0.11,0.0,0.41,0.0,0.0,0.0,0.0,0.08,0.07,8
vland,0.0,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.24,0.26,0.0,0.17,12
vm27a,0.11,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.51,0.0,0.0,0.0,11
vmlu3,0.16,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,2
vnosz,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,4
votop,0.0,0.0,0.27,0.0,0.0,0.38,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.23,0.04,5
vqfhz,0.0,0.0,0.19,0.0,0.0,0.33,0.0,0.0,0.25,0.02,0.01,0.18,0.0,0.0,0.0,5
vqh5q,0.15,0.0,0.21,0.0,0.0,0.07,0.0,0.05,0.0,0.0,0.02,0.4,0.0,0.0,0.09,11
vqhjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.41,0.57,0.0,0.0,12
vqy2y,0.0,0.0,0.19,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.18,0.0,5
vwk3a,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.65,0.0,0.12,0.06,11
w0puw,0.05,0.0,0.04,0.0,0.19,0.0,0.0,0.13,0.53,0.0,0.0,0.0,0.0,0.04,0.0,8
w2jun,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.02,0.31,0.0,0.04,0.53,0.0,0.04,0.0,11
w2yy5,0.18,0.0,0.33,0.22,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
w38y8,0.36,0.0,0.42,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
w3b6i,0.17,0.0,0.06,0.09,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5
w4xxm,0.19,0.0,0.31,0.0,0.0,0.0,0.27,0.13,0.0,0.0,0.0,0.0,0.09,0.0,0.0,2
w5iqk,0.0,0.0,0.38,0.0,0.1,0.0,0.0,0.06,0.31,0.05,0.0,0.09,0.0,0.0,0.0,2
w6ue4,0.05,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.26,0.22,0.06,0.36,0.0,0.0,0.0,11
