,t0 pregnant,t1 amp,t2 help,t3 weight,t4 symptom,t5 ultrasound,t6 tissue,t7 surgery,t8 nt,t9 surgery,t10 experience,t11 back,t12 nt,t13 pill,t14 control,dominant_topic
5882a7,0.0,0.02,0.0,0.01,0.38,0.0,0.01,0.07,0.2,0.0,0.0,0.0,0.0,0.14,0.17,4
58czms,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.63,14
5aw3cu,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.35,0.19,0.0,0.16,0.08,0.14,9
5bdruc,0.29,0.02,0.28,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0
5c0qjb,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.05,0.04,0.0,0.0,0.0,0.1,8
5c5zq6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.21,0.41,0.0,0.0,12
5c8fw6,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.01,0.01,12
5cbo4h,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,10
5cheix,0.06,0.0,0.09,0.02,0.0,0.5,0.0,0.2,0.0,0.0,0.12,0.0,0.0,0.0,0.0,5
5dafxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.11,0.0,0.0,0.0,0.0,0.34,0.2,13
5e4rpe,0.15,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.26,0.0,0.0,0.0,0.25,0.0,0.18,8
5e6ga7,0.02,0.02,0.1,0.0,0.0,0.09,0.0,0.0,0.33,0.06,0.1,0.0,0.16,0.0,0.11,8
5ebq1k,0.0,0.0,0.23,0.0,0.0,0.24,0.02,0.0,0.0,0.0,0.0,0.3,0.0,0.21,0.0,11
5ekgjj,0.0,0.0,0.0,0.04,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5ex8ra,0.0,0.0,0.08,0.0,0.04,0.29,0.0,0.0,0.25,0.0,0.0,0.0,0.09,0.0,0.24,5
5f4sia,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.16,0.0,0.28,0.0,0.3,0.0,0.0,12
5fbefw,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.71,0.0,0.0,12
5g762b,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.28,0.0,0.0,10
