,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
4dy658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.57,0.05,0.0,0.28,0.0,0.0,0.0,0.0,12
4e0a9p,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.48,0.0,0.0,17
4e9dvx,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.16,0.31,0.22,0.0,0.0,0.12,0.0,0.0,13
4ebzv9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.22,0.0,0.0,8
4ed9hf,0.0,0.0,0.04,0.0,0.13,0.39,0.0,0.0,0.03,0.0,0.0,0.09,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,5
4enwzr,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.22,0.0,0.37,0.0,0.0,17
4f434h,0.0,0.0,0.01,0.0,0.01,0.07,0.0,0.0,0.61,0.02,0.08,0.0,0.0,0.05,0.0,0.04,0.0,0.1,0.0,0.0,8
4fv6n5,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.29,0.0,0.0,0.0,0.0,14
4glsui,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.21,0.0,0.0,0.0,0.24,0.0,0.0,0.02,16
4h2itk,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.01,0.2,0.0,0.0,0.11,0.15,0.0,0.0,0.32,0.0,0.1,0.03,0.0,15
4h8yqw,0.0,0.0,0.0,0.0,0.16,0.04,0.0,0.08,0.12,0.0,0.33,0.0,0.0,0.05,0.0,0.08,0.1,0.0,0.0,0.04,10
4hhww7,0.0,0.0,0.0,0.44,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4hr2yd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.48,0.0,0.0,17
4idvyx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.2,0.0,0.07,0.0,0.2,0.33,0.0,0.0,0.0,16
4ihvj4,0.0,0.0,0.19,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.0,0.0,0.0,0.32,0.0,0.0,5
4kgby6,0.0,0.0,0.0,0.09,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.47,0.0,0.09,17
4l2epp,0.0,0.0,0.17,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,15
4l9p6d,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.0,0.17,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.42,0.0,0.0,17
4mavep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.46,0.0,0.0,17
4mfexy,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.0,0.19,0.0,0.0,0.36,0.0,0.06,0.0,16
4mfgv8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.12,0.0,0.0,0.72,0.0,0.0,0.0,0.0,15
4n5ai7,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.07,0.0,0.48,0.0,0.0,17
4nqph1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.19,0.11,0.0,0.0,0.0,0.16,0.03,0.17,0.0,0.0,0.23,0.03,0.0,17
4o3vh1,0.08,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.36,0.0,0.29,0.0,0.0,0.0,0.0,0.0,12
4ogywq,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.25,0.32,0.0,0.0,0.0,0.0,15
4oy777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.14,0.23,0.13,0.0,0.09,0.0,0.0,7
4p6q28,0.0,0.0,0.04,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.15,0.0,0.0,0.03,0.33,0.13,0.0,17
4prwt3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12
4prxwa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,10
4pu15f,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.0,0.11,0.18,0.35,0.0,0.0,0.0,0.02,15
4q8hs6,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.32,0.12,0.0,0.0,0.0,0.37,0.0,0.0,17
4sp71k,0.03,0.0,0.0,0.02,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.54,0.0,0.0,17
4sqyt9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.2,0.0,0.0,7
4st9gt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,16
4swn6p,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,7
4t28gp,0.0,0.0,0.0,0.0,0.02,0.24,0.0,0.03,0.07,0.01,0.0,0.03,0.13,0.14,0.0,0.16,0.12,0.05,0.0,0.01,5
4t9kuf,0.0,0.0,0.37,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.1,0.0,2
