,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
13711b,0.33,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.21,0.0,0.14,0.0,0
1374cm,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,17
1389ll,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,14
139iwn,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,17
13bahg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
13cevi,0.21,0.0,0.13,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4
13cnh8,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.33,0.31,0.02,17
13erg3,0.5,0.21,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13fhow,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.11,0.06,0.06,0.03,0.39,0.0,0.11,0.0,0.0,0.12,0.12,0.0,0.0,11
13glte,0.28,0.0,0.0,0.0,0.26,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,17
13q6fo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.08,0.24,0.0,0.25,0.0,0.0,0.0,0.0,0.18,0.03,13
13qs9p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,14
13ssdt,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.14,0.29,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,18
13tse3,0.0,0.0,0.17,0.05,0.39,0.0,0.0,0.0,0.0,0.12,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
13tt6h,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.06,9
13uq9v,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.28,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
13vhlv,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.28,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
13yg5q,0.45,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13zdxj,0.0,0.0,0.39,0.0,0.08,0.0,0.0,0.04,0.07,0.0,0.0,0.17,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2
1412fo,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9
143csp,0.11,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1,0.34,0.22,0.01,17
1443yb,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.14,16
149ce7,0.01,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.01,2
149jdf,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,17
149yba,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.09,0.0,0.11,0.0,0.0,0.66,0.0,0.0,17
14dwxt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.0,0.0,0.44,0.0,0.0,0.39,0.0,0.0,14
14o5qo,0.0,0.0,0.08,0.0,0.23,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,14
14spft,0.12,0.0,0.0,0.28,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.29,0.0,0.0,17
14ubu4,0.0,0.0,0.0,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.41,0.02,0.0,0.3,0.0,0.07,0.0,13
14xmzg,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.19,0.0,0.12,0.18,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
15165j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,16
15bk09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.14,0.33,0.0,18
15cgzi,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.4,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.0,11
15dhv5,0.48,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15fld8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.12,7
15hd84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.8,0.0,0.0,0.0,0.0,0.0,14
15ic56,0.0,0.0,0.24,0.0,0.0,0.0,0.12,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.0,0.0,16
