,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
j8faow,0.35,0.0,0.0,0.0,0.0,0.1,0.0,0.09,0.38,0.06,8
j8g1nq,0.24,0.06,0.03,0.09,0.47,0.0,0.0,0.0,0.0,0.12,4
j8ii7z,0.01,0.26,0.01,0.01,0.45,0.25,0.01,0.01,0.01,0.01,4
j8ij92,0.01,0.26,0.01,0.01,0.45,0.25,0.01,0.01,0.01,0.01,4
j8inwv,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.45,0.0,3
j8mudw,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
j8n6uo,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.36,0.23,3
j8po01,0.0,0.05,0.0,0.15,0.13,0.0,0.0,0.0,0.22,0.43,9
j8qzur,0.33,0.0,0.0,0.19,0.0,0.16,0.0,0.23,0.0,0.08,0
j8r53v,0.34,0.0,0.02,0.14,0.0,0.0,0.0,0.35,0.0,0.13,7
j8ujdz,0.0,0.0,0.0,0.0,0.16,0.17,0.0,0.65,0.0,0.0,7
j8vyzf,0.0,0.0,0.0,0.0,0.65,0.0,0.18,0.0,0.0,0.16,4
j8whla,0.0,0.19,0.07,0.0,0.56,0.0,0.1,0.07,0.0,0.0,4
j8wlsw,0.0,0.13,0.0,0.3,0.0,0.0,0.0,0.34,0.21,0.0,7
j8xvuc,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.35,0.0,0.43,9
j8y5qz,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.09,7
j8yan1,0.0,0.0,0.0,0.0,0.48,0.02,0.0,0.32,0.18,0.0,4
j8yf3n,0.47,0.01,0.01,0.01,0.01,0.48,0.01,0.01,0.01,0.01,5
j8ymel,0.01,0.32,0.21,0.01,0.4,0.01,0.01,0.01,0.01,0.01,4
j8zfm8,0.0,0.59,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,1
j905xn,0.11,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.76,0.01,8
j90qjm,0.0,0.0,0.04,0.0,0.0,0.15,0.16,0.0,0.33,0.3,8
j95xhu,0.74,0.0,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.09,0
j95ygq,0.14,0.0,0.0,0.0,0.34,0.0,0.24,0.0,0.0,0.26,4
j96uly,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.38,0.0,0.0,4
j985jf,0.52,0.01,0.01,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0
j98fko,0.01,0.01,0.09,0.5,0.32,0.01,0.01,0.01,0.01,0.01,3
j9b9ck,0.0,0.0,0.0,0.29,0.62,0.0,0.0,0.08,0.0,0.0,4
j9btu5,0.1,0.0,0.21,0.0,0.0,0.0,0.0,0.36,0.31,0.0,7
j9d7v8,0.01,0.3,0.01,0.01,0.01,0.01,0.62,0.01,0.01,0.01,6
j9dky0,0.0,0.06,0.11,0.0,0.62,0.0,0.19,0.0,0.0,0.0,4
j9f7ks,0.02,0.47,0.02,0.02,0.02,0.02,0.37,0.02,0.02,0.02,1
j9gsf8,0.0,0.21,0.0,0.0,0.0,0.0,0.31,0.0,0.3,0.16,6
j9i9em,0.0,0.15,0.0,0.0,0.17,0.04,0.2,0.42,0.0,0.02,7
j9igtq,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
j9jdvo,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.3,0.0,0.51,9
j9k5o9,0.08,0.0,0.0,0.24,0.0,0.0,0.0,0.46,0.21,0.0,7
j9kceb,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.49,0.01,0.01,7
j9ki96,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.13,0.0,0.08,3
j9lc28,0.01,0.01,0.01,0.42,0.01,0.01,0.21,0.32,0.01,0.01,3
j9m7jp,0.0,0.24,0.0,0.0,0.36,0.0,0.09,0.0,0.06,0.25,4
j9mnhh,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,3
j9qrb0,0.0,0.19,0.06,0.36,0.0,0.0,0.18,0.2,0.0,0.0,3
j9rho6,0.01,0.01,0.15,0.36,0.01,0.01,0.01,0.01,0.01,0.43,9
j9vnfq,0.2,0.25,0.0,0.0,0.09,0.11,0.0,0.27,0.0,0.07,7
j9xby0,0.01,0.13,0.01,0.2,0.01,0.6,0.01,0.01,0.01,0.01,5
j9xogy,0.0,0.0,0.3,0.51,0.0,0.0,0.16,0.0,0.0,0.0,3
j9xu5r,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.19,0.47,9
j9y6yw,0.0,0.31,0.11,0.55,0.0,0.0,0.0,0.0,0.0,0.0,3
ja19om,0.35,0.24,0.0,0.0,0.25,0.0,0.0,0.13,0.0,0.0,0
ja1v87,0.0,0.0,0.0,0.5,0.0,0.08,0.11,0.0,0.3,0.0,3
ja21vl,0.2,0.39,0.0,0.17,0.0,0.0,0.0,0.12,0.0,0.12,1
ja23l2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.33,0.25,8
ja24a7,0.0,0.0,0.31,0.0,0.38,0.0,0.0,0.0,0.0,0.3,4
ja2d1w,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.29,0.13,6
ja2hsd,0.0,0.1,0.0,0.09,0.38,0.0,0.42,0.0,0.0,0.0,6
ja2ibb,0.01,0.01,0.01,0.01,0.51,0.01,0.24,0.01,0.2,0.01,4
ja30mz,0.07,0.12,0.0,0.0,0.44,0.0,0.2,0.0,0.08,0.08,4
ja38ri,0.0,0.06,0.0,0.17,0.3,0.0,0.0,0.0,0.47,0.0,8
ja3e76,0.0,0.1,0.09,0.0,0.0,0.14,0.0,0.0,0.0,0.66,9
ja3wyn,0.21,0.0,0.0,0.0,0.26,0.05,0.0,0.31,0.17,0.0,7
ja3z0h,0.44,0.0,0.0,0.27,0.0,0.0,0.06,0.21,0.0,0.0,0
ja4zhh,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.66,0.09,8
ja9bm4,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.21,0.0,0
ja9oxx,0.4,0.0,0.0,0.21,0.0,0.0,0.0,0.16,0.22,0.0,0
jac0nv,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,3
jae7hd,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,5
jaejl1,0.0,0.46,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.24,1
jafwz9,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.63,9
jahoeq,0.0,0.1,0.0,0.0,0.15,0.0,0.34,0.39,0.0,0.0,7
