,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
gk8dxv,0.05,0.11,0.0,0.19,0.04,0.02,0.0,0.0,0.14,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.14,0.16,0.07,0.0,3
gkazor,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.16,0.03,0.17,0.17,0.0,0.04,0.19,19
gkbfrp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.77,0.0,0.0,0.0,0.0,15
gkdd35,0.0,0.26,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.44,0.0,0.0,0.0,16
gkejef,0.03,0.06,0.0,0.1,0.13,0.0,0.0,0.0,0.0,0.18,0.01,0.01,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.27,19
gkeq7j,0.05,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.27,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4
gkjmu4,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,8
gkmwry,0.0,0.04,0.0,0.0,0.16,0.0,0.18,0.0,0.15,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,9
gkmy4a,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.18,0.08,0.0,0.0,0.05,0.0,0.0,0.01,0.11,0.0,0.19,0.0,0.13,4
gkokcp,0.1,0.0,0.0,0.14,0.0,0.0,0.0,0.28,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,16
gkvtga,0.0,0.61,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
gkvyq2,0.0,0.04,0.18,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.16,0.39,0.0,0.01,0.12,16
gkx84e,0.0,0.04,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.21,0.05,0.05,2
gkzmqy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.59,0.0,0.0,17
gl3lpv,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.06,0.0,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.27,19
gl3x8i,0.0,0.0,0.0,0.09,0.08,0.0,0.02,0.06,0.0,0.16,0.0,0.08,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.22,16
gl3xmd,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.53,0.0,0.0,0.0,0.37,15
gl7wg1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9
glarie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,15
glc7gx,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.51,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
glh49w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.2,0.0,0.24,0.0,0.0,7
glkrm0,0.15,0.07,0.15,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.19,0.0,0.21,0.0,0.0,17
gll9wf,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.54,19
gllxwl,0.02,0.0,0.0,0.15,0.23,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.36,0.0,0.0,0.0,16
glmvnd,0.02,0.0,0.14,0.06,0.3,0.03,0.03,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.01,0.12,0.09,0.0,0.0,0.0,4
glntl4,0.11,0.15,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,3
glp099,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0
glptqe,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,16
glrlcg,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.66,0.0,0.0,0.0,0.0,15
glssw5,0.0,0.11,0.0,0.0,0.25,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.13,0.0,0.0,15
gm093c,0.0,0.0,0.0,0.1,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.36,0.15,0.0,0.0,16
gm2uxw,0.0,0.0,0.45,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2
gm5brp,0.02,0.11,0.07,0.09,0.17,0.0,0.05,0.1,0.0,0.03,0.13,0.0,0.0,0.01,0.0,0.0,0.18,0.0,0.03,0.0,16
gm5yas,0.0,0.03,0.27,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.53,0.0,0.0,0.0,0.0,15
gm73g3,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,15
