,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
26mt2i,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.15,0.35,0.2,0.0,0.2,11
26o6z3,0.0,0.0,0.27,0.08,0.27,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.18,2
26p2qd,0.04,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.11,0.17,0.11,0.0,0.0,0.0,4
26pn4n,0.0,0.05,0.0,0.03,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.36,4
26rw4e,0.03,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.36,0.29,0.19,0.05,0.0,0.0,0.0,8
26tyl8,0.02,0.0,0.06,0.0,0.59,0.0,0.03,0.0,0.04,0.1,0.12,0.0,0.02,0.0,0.0,4
26uc4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.18,0.0,0.0,0.72,0.0,0.0,12
274sve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,10
27ae1w,0.14,0.0,0.26,0.0,0.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,4
27baj2,0.02,0.06,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,2
27hze5,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.67,0.0,0.0,12
27luoa,0.0,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.06,0.47,0.05,0.0,0.22,0.0,0.0,9
27umlo,0.25,0.0,0.02,0.0,0.19,0.0,0.0,0.0,0.24,0.0,0.13,0.09,0.07,0.0,0.0,0
27unv4,0.01,0.0,0.19,0.0,0.6,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.05,0.0,0.0,4
27wzvh,0.0,0.0,0.15,0.0,0.0,0.31,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,8
28o66u,0.0,0.0,0.0,0.17,0.04,0.0,0.04,0.0,0.14,0.5,0.11,0.0,0.0,0.0,0.0,9
28oy9h,0.0,0.04,0.11,0.0,0.35,0.01,0.0,0.0,0.0,0.29,0.0,0.09,0.1,0.0,0.0,4
28uq7f,0.05,0.0,0.17,0.0,0.38,0.12,0.03,0.0,0.0,0.22,0.0,0.0,0.03,0.0,0.0,4
28v9dr,0.42,0.0,0.0,0.03,0.1,0.02,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.06,0
28xn1n,0.0,0.0,0.38,0.03,0.0,0.0,0.0,0.0,0.11,0.0,0.26,0.22,0.0,0.0,0.0,2
2910jx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,9
2941wk,0.02,0.05,0.0,0.04,0.06,0.03,0.04,0.0,0.23,0.0,0.09,0.2,0.22,0.02,0.0,8
29plst,0.0,0.0,0.07,0.0,0.13,0.0,0.0,0.0,0.11,0.24,0.05,0.13,0.26,0.0,0.0,12
29rni7,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.28,0.22,0.0,12
29uf5g,0.17,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4
29wp4s,0.0,0.0,0.16,0.0,0.0,0.04,0.0,0.0,0.3,0.0,0.0,0.0,0.15,0.0,0.33,14
29ztdy,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.42,0.12,0.16,0.0,0.09,0.02,0.0,8
2a03xk,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.38,0.13,0.17,0.0,0.1,0.02,0.0,8
2a3ltn,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.01,0.01,12
2a41bx,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.15,0.14,0.0,8
2a8by8,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.04,0.16,0.0,0.12,8
2a97o2,0.0,0.0,0.0,0.0,0.27,0.03,0.0,0.0,0.0,0.0,0.47,0.17,0.0,0.03,0.0,10
2adqiy,0.12,0.0,0.0,0.0,0.25,0.02,0.0,0.0,0.31,0.18,0.01,0.03,0.06,0.02,0.0,8
2antap,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.0,0.22,0.0,0.43,0.06,0.0,0.0,0.0,10
2apfzx,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.19,0.0,0.08,0.07,0.22,0.06,0.0,4
2apmoa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,10
2ash5g,0.0,0.06,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.25,0.38,0.0,0.0,0.0,0.07,10
2av66v,0.08,0.0,0.0,0.03,0.24,0.0,0.0,0.0,0.07,0.19,0.0,0.17,0.16,0.0,0.07,4
2avgtx,0.19,0.06,0.59,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2b3mn6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.19,0.15,0.0,0.0,0.2,2
2b7lru,0.05,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.3,0.0,0.0,2
2bew4v,0.0,0.0,0.05,0.0,0.16,0.11,0.03,0.0,0.0,0.54,0.0,0.11,0.0,0.0,0.0,9
2bjmh0,0.0,0.0,0.31,0.0,0.28,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2bsuyf,0.0,0.0,0.0,0.0,0.46,0.03,0.0,0.0,0.0,0.05,0.26,0.0,0.15,0.0,0.05,4
2but6j,0.31,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,12
2c7j0m,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,2
2cfokv,0.0,0.1,0.11,0.0,0.0,0.0,0.14,0.0,0.0,0.32,0.04,0.06,0.0,0.0,0.23,9
2ch7c9,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.21,0.37,14
2cjirv,0.04,0.0,0.14,0.0,0.18,0.0,0.09,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.17,8
2cryc2,0.18,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.22,0.0,0.07,0.23,0.0,0.0,0.0,4
2crzgd,0.16,0.11,0.0,0.18,0.38,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,4
2ctr1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.8,14
2d2zts,0.0,0.05,0.19,0.0,0.3,0.0,0.0,0.0,0.0,0.39,0.0,0.06,0.0,0.0,0.0,9
2d6540,0.0,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,9
2d7tc7,0.0,0.0,0.0,0.0,0.69,0.02,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.03,0.03,4
2dca2i,0.0,0.0,0.0,0.0,0.25,0.01,0.03,0.0,0.02,0.06,0.04,0.06,0.34,0.02,0.16,12
2dfcl1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.27,0.21,0.07,0.0,0.13,0.0,0.08,8
2dwzrn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.23,0.07,0.49,14
2e22ku,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.21,0.48,0.07,0.0,0.02,0.17,10
2e3col,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.2,0.11,0.4,0.0,0.0,0.0,11
2e5m55,0.0,0.12,0.11,0.0,0.36,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.11,4
2e5zo1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.36,10
2e63mj,0.0,0.08,0.0,0.0,0.24,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.54,14
2e73kh,0.0,0.0,0.51,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2e740g,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.46,0.22,0.0,0.0,0.0,0.0,0.29,8
2e75sq,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.37,0.0,0.0,0.07,0.39,0.0,0.0,12
2e7nv8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.21,0.0,0.0,0.0,8
2eb1p2,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.3,0.0,0.13,0.0,10
2ee07g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2,0.04,0.0,0.0,10
2en5w2,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.14,0.29,0.39,0.1,0.0,0.0,0.0,10
2eqb9h,0.0,0.0,0.0,0.13,0.0,0.0,0.08,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,10
2f812b,0.11,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.35,0.26,0.0,0.0,0.04,0.12,9
2f8byv,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.77,0.0,0.0,0.0,0.0,0.0,9
2fc2je,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.14,0.01,3
2ffws1,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,4
2fia9z,0.0,0.0,0.13,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.06,0.0,0.0,10
2flmwo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.06,0.0,0.0,10
2g4pzz,0.0,0.0,0.08,0.0,0.0,0.0,0.2,0.0,0.18,0.0,0.26,0.0,0.13,0.0,0.14,10
2gas86,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.0,0.46,0.0,0.39,0.0,0.0,0.0,0.0,8
2gcxj0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.21,0.0,0.0,0.15,0.31,0.0,0.29,12
2gh0to,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,8
2giqci,0.0,0.0,0.0,0.0,0.28,0.07,0.0,0.0,0.09,0.16,0.0,0.0,0.0,0.0,0.39,14
2gmsep,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.0,0.46,0.0,0.0,0.0,11
2goeaw,0.08,0.07,0.13,0.0,0.25,0.05,0.05,0.0,0.0,0.27,0.0,0.05,0.0,0.04,0.0,9
2h4dl3,0.08,0.24,0.0,0.0,0.17,0.04,0.0,0.0,0.0,0.32,0.0,0.13,0.0,0.0,0.0,9
2h7kf5,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.03,0.0,10
2h9zy8,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.62,0.31,0.0,0.0,0.0,10
2hegnw,0.02,0.04,0.0,0.04,0.2,0.01,0.02,0.0,0.12,0.03,0.0,0.12,0.29,0.02,0.08,12
2hlof8,0.0,0.12,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,9
2hrkrj,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.18,0.0,0.0,8
2i9tar,0.0,0.0,0.21,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,10
2iazjm,0.1,0.0,0.12,0.03,0.14,0.0,0.02,0.0,0.03,0.08,0.15,0.16,0.12,0.01,0.04,11
2ideai,0.0,0.06,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.51,0.12,0.1,0.05,0.0,0.0,9
2if0y3,0.44,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2illf4,0.03,0.0,0.0,0.05,0.42,0.0,0.02,0.0,0.0,0.29,0.08,0.0,0.0,0.0,0.11,4
2ipua1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.09,0.16,0.0,0.0,0.44,0.0,0.18,12
2iwtx5,0.17,0.0,0.09,0.0,0.24,0.0,0.0,0.0,0.42,0.07,0.0,0.0,0.0,0.0,0.0,8
2j97yx,0.07,0.03,0.0,0.0,0.24,0.03,0.01,0.0,0.2,0.22,0.05,0.03,0.09,0.03,0.0,4
2jdnt3,0.0,0.0,0.33,0.0,0.23,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.19,0.02,0.12,2
2jf534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.37,12
2jkrg4,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.34,9
2jp6dh,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.16,0.0,0.1,10
2js8ml,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,2
2jtrvh,0.0,0.0,0.19,0.0,0.0,0.13,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.07,0.33,14
2jv7re,0.0,0.0,0.23,0.0,0.22,0.0,0.0,0.0,0.28,0.0,0.0,0.26,0.0,0.0,0.0,8
2jy7hh,0.38,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.29,0.0,0.0,0.0,0
2k3pxw,0.1,0.0,0.0,0.02,0.24,0.0,0.0,0.0,0.0,0.25,0.39,0.0,0.0,0.0,0.0,10
2k4nzw,0.28,0.0,0.28,0.07,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0
2k74do,0.13,0.0,0.43,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.05,2
2k9t2x,0.0,0.0,0.31,0.0,0.09,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.05,0.0,8
2kair4,0.0,0.0,0.0,0.0,0.47,0.0,0.05,0.0,0.0,0.35,0.0,0.11,0.0,0.0,0.0,4
2kbxpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.13,0.0,0.0,0.58,0.0,0.0,12
2kc2pt,0.06,0.06,0.06,0.0,0.0,0.0,0.02,0.0,0.51,0.0,0.0,0.0,0.18,0.1,0.0,8
2kcbjb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.41,0.21,0.0,12
2kgkfs,0.21,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.47,0.0,0.0,0.0,0.28,0.0,0.0,8
2kjowc,0.23,0.0,0.39,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2kl0o5,0.0,0.0,0.1,0.04,0.19,0.01,0.0,0.0,0.0,0.2,0.11,0.09,0.15,0.0,0.11,9
2klev5,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.5,0.04,0.0,0.01,0.0,0.18,9
2kn4bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.45,0.0,0.0,0.0,0.0,8
2kq8c4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.19,0.0,0.09,0.0,8
2l6hgl,0.0,0.04,0.0,0.0,0.5,0.0,0.06,0.0,0.03,0.0,0.02,0.16,0.07,0.0,0.13,4
2lejje,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,5
2ljku3,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0
2logyv,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.33,0.18,0.28,12
2ludfu,0.0,0.0,0.13,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4
2m500u,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.52,0.37,0.0,0.0,0.0,10
2m54fr,0.14,0.23,0.01,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
2m6lfe,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.13,0.0,0.0,3
2mbmmt,0.15,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.16,0.31,0.0,0.0,0.21,0.0,0.0,9
2mbs7q,0.0,0.2,0.25,0.0,0.01,0.0,0.07,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,2
2mdu5q,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.16,0.0,0.1,0.38,0.22,0.0,0.0,11
2mm8p9,0.0,0.0,0.0,0.0,0.9,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2mmpod,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.09,0.0,0.09,0.21,0.02,0.09,8
2mrs23,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.18,0.04,0.32,14
2n7py1,0.11,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.08,0.16,0.0,0.0,0.0,0.0,4
2n8u5w,0.0,0.0,0.0,0.52,0.0,0.05,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,3
2o2cdu,0.12,0.06,0.11,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2o43h9,0.0,0.0,0.0,0.04,0.21,0.0,0.03,0.0,0.18,0.0,0.0,0.08,0.21,0.0,0.25,14
2onbu8,0.15,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.11,0.0,0.25,0.13,0.11,0.0,0.0,10
2otate,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.1,0.0,0.05,4
2p8dc1,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.34,0.0,0.17,0.0,0.0,10
2pbj0u,0.0,0.03,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.09,0.05,0.0,0.45,0.0,0.22,12
2ph8rw,0.0,0.0,0.06,0.0,0.14,0.14,0.11,0.0,0.0,0.39,0.14,0.0,0.0,0.0,0.0,9
2pn5ry,0.0,0.0,0.42,0.0,0.11,0.0,0.02,0.0,0.0,0.0,0.2,0.1,0.14,0.0,0.0,2
2prsjg,0.07,0.0,0.26,0.0,0.16,0.02,0.0,0.0,0.0,0.4,0.09,0.0,0.0,0.0,0.0,9
2pyz5t,0.0,0.0,0.43,0.4,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2qix4w,0.04,0.05,0.05,0.0,0.3,0.0,0.0,0.0,0.35,0.09,0.0,0.0,0.11,0.0,0.0,8
2r4nuf,0.14,0.0,0.12,0.0,0.0,0.0,0.03,0.0,0.3,0.0,0.0,0.15,0.0,0.24,0.0,8
2rdp3w,0.07,0.0,0.1,0.04,0.06,0.0,0.0,0.0,0.09,0.12,0.14,0.2,0.17,0.01,0.0,11
2rghov,0.0,0.0,0.49,0.0,0.0,0.1,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,2
2rko14,0.01,0.05,0.0,0.0,0.21,0.0,0.05,0.0,0.09,0.0,0.0,0.0,0.28,0.0,0.32,14
2rlc85,0.0,0.0,0.37,0.12,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,2
2rm4k4,0.0,0.0,0.29,0.13,0.2,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.09,0.0,0.0,2
2rm6f3,0.0,0.0,0.29,0.13,0.2,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.09,0.0,0.0,2
2rmyzs,0.05,0.02,0.16,0.0,0.56,0.0,0.0,0.0,0.0,0.14,0.0,0.07,0.0,0.0,0.0,4
2rnb4i,0.09,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,8
2rnbpo,0.0,0.0,0.17,0.08,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.12,0.0,0.0,0.44,14
2rnyex,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.0,0.44,0.18,0.0,0.0,0.21,0.0,0.0,8
2ruk2p,0.08,0.0,0.0,0.0,0.64,0.0,0.05,0.0,0.04,0.0,0.14,0.0,0.0,0.04,0.0,4
2rvqzi,0.03,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.23,0.1,0.0,0.15,0.21,0.0,0.0,4
2s2z0c,0.0,0.0,0.64,0.0,0.0,0.04,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,2
2s3tn7,0.0,0.0,0.44,0.0,0.0,0.05,0.0,0.0,0.25,0.24,0.0,0.0,0.0,0.0,0.0,2
2s7a3r,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4
2s9c35,0.23,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,9
2sa6i4,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.3,0.1,0.0,0.15,0.0,0.0,0.0,4
2scmfr,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.0,0.13,0.35,0.2,0.12,0.05,0.0,0.0,9
2sdrdr,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.28,0.17,0.14,0.0,0.25,0.0,0.0,8
2slem9,0.0,0.03,0.0,0.0,0.14,0.0,0.03,0.0,0.0,0.19,0.0,0.0,0.51,0.0,0.1,12
2sls6e,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.17,13
2smp1b,0.02,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.33,0.0,0.25,0.0,11
2svwhw,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.23,0.32,0.09,0.15,0.05,0.02,0.0,9
2sxpqr,0.0,0.0,0.1,0.04,0.0,0.0,0.08,0.0,0.61,0.0,0.0,0.0,0.17,0.0,0.0,8
2t8hpr,0.0,0.0,0.0,0.06,0.18,0.0,0.02,0.0,0.28,0.0,0.0,0.21,0.23,0.0,0.0,8
2tagyb,0.0,0.0,0.14,0.0,0.0,0.0,0.07,0.0,0.45,0.0,0.0,0.18,0.16,0.0,0.0,8
2te8lk,0.14,0.0,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.21,0.13,0.23,0.05,0.0,12
2tecmu,0.0,0.0,0.42,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,2
2tfft1,0.11,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,4
2tg02z,0.0,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.11,0.24,0.36,0.13,0.0,0.01,0.0,10
2tghqe,0.07,0.03,0.23,0.02,0.0,0.07,0.05,0.0,0.0,0.0,0.04,0.39,0.04,0.04,0.0,11
2tlfy1,0.0,0.0,0.0,0.05,0.1,0.06,0.12,0.0,0.12,0.09,0.0,0.07,0.23,0.05,0.11,12
2tnwo7,0.0,0.0,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.0,0.45,14
2ttk5z,0.21,0.0,0.0,0.0,0.31,0.0,0.07,0.0,0.07,0.26,0.0,0.05,0.0,0.02,0.0,4
2tut8q,0.02,0.0,0.07,0.03,0.47,0.01,0.01,0.0,0.32,0.0,0.0,0.0,0.07,0.0,0.0,4
2tvoys,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.1,0.08,0.0,0.0,9
2twber,0.0,0.0,0.0,0.02,0.18,0.0,0.11,0.0,0.11,0.16,0.0,0.0,0.2,0.22,0.0,13
2twbxb,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.62,0.01,13
2twt78,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.0,0.16,0.0,0.11,0.25,0.16,0.01,0.06,11
2tz8fo,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.05,4
2u0wmw,0.0,0.0,0.27,0.1,0.14,0.0,0.09,0.0,0.0,0.0,0.0,0.17,0.21,0.0,0.0,2
2u1qw0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.12,0.45,0.0,0.0,0.0,0.0,10
2u31eq,0.09,0.0,0.37,0.0,0.0,0.0,0.01,0.0,0.38,0.0,0.0,0.1,0.0,0.03,0.0,8
2u4mmy,0.06,0.0,0.22,0.0,0.14,0.04,0.03,0.0,0.16,0.04,0.04,0.0,0.22,0.05,0.0,2
2u8hm0,0.0,0.0,0.0,0.11,0.14,0.0,0.03,0.0,0.0,0.19,0.0,0.31,0.22,0.0,0.0,11
2ug2ya,0.0,0.02,0.11,0.0,0.18,0.0,0.02,0.0,0.46,0.14,0.04,0.0,0.0,0.03,0.0,8
2ugeqg,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.64,0.0,0.0,0.0,0.0,10
2ujx4z,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.33,0.0,0.07,0.0,0.0,8
2ulmuz,0.07,0.0,0.04,0.0,0.64,0.0,0.06,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,4
2um2bd,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.39,0.0,0.0,0.24,0.0,0.0,0.0,8
2un0vv,0.0,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.43,14
2ungy6,0.07,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.32,0.42,0.0,0.0,0.0,11
2uogjm,0.0,0.02,0.2,0.0,0.37,0.12,0.0,0.0,0.2,0.0,0.0,0.0,0.09,0.0,0.0,4
2uplx9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.36,13
2ur26l,0.0,0.0,0.15,0.04,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.0,0.05,4
